step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.499375,0.499420,0.499157,0.499161,0.499272,0.499200,0.499089,0.498984,0.499851,0.499090,0.499059,0.499058,0.499578,0.499500,0.499976,0.499294,0.500215,0.499204,0.499125,0.499120,0.499403,0.499341,0.500540,0.499685,0.500475,0.499625,0.499261,0.499244,0.499575,0.499551,0.500335,0.499629,0.499495,0.499365,0.499706,0.499745,0.500295,0.500272,0.500428,0.499828,0.499548,0.499352,0.499571,0.499609,0.499847,0.499825,0.500499,0.499974
400,0.497720,0.498024,0.496150,0.496206,0.496082,0.495974,0.497019,0.496128,0.501331,0.497407,0.495967,0.495936,0.497469,0.497103,0.500215,0.497273,0.502649,0.497873,0.496616,0.496604,0.497974,0.497520,0.501263,0.498022,0.502908,0.499343,0.496753,0.496697,0.498119,0.497902,0.499807,0.497468,0.499072,0.497454,0.498305,0.498338,0.500004,0.499718,0.500349,0.498130,0.499694,0.498022,0.497872,0.497953,0.498668,0.498413,0.500520,0.498548
600,0.494887,0.495889,0.490924,0.491137,0.490261,0.490163,0.493963,0.492004,0.504905,0.495555,0.490478,0.490426,0.493794,0.492768,0.499100,0.493868,0.507232,0.496620,0.491708,0.491624,0.495438,0.494265,0.501385,0.494689,0.506901,0.498648,0.491924,0.491733,0.495040,0.494407,0.498922,0.493450,0.501797,0.494118,0.494572,0.494565,0.498249,0.497335,0.500416,0.494943,0.501488,0.496082,0.494417,0.494583,0.496310,0.495625,0.501183,0.496531
800,0.489709,0.491693,0.483495,0.483968,0.482307,0.482195,0.490023,0.486477,0.510640,0.491693,0.483036,0.482921,0.487731,0.485999,0.497980,0.489484,0.513966,0.494253,0.484853,0.484612,0.491292,0.489275,0.501733,0.489850,0.513059,0.496794,0.485525,0.484957,0.490492,0.489296,0.499236,0.488564,0.507540,0.490242,0.489032,0.488884,0.495387,0.493656,0.501138,0.490584,0.504637,0.492619,0.489414,0.489700,0.492338,0.491344,0.502122,0.493414
1000,0.482571,0.485604,0.474067,0.474913,0.472329,0.472159,0.485116,0.479051,0.517479,0.487068,0.474396,0.474030,0.480119,0.477445,0.497535,0.483484,0.523481,0.491477,0.475810,0.475254,0.484579,0.481542,0.504251,0.484051,0.521383,0.493746,0.477472,0.476196,0.483788,0.481936,0.501533,0.482230,0.516373,0.485396,0.481045,0.480597,0.490955,0.488192,0.502995,0.484501,0.510869,0.488574,0.482742,0.482954,0.486288,0.484985,0.503033,0.488435
1200,0.473484,0.477452,0.462944,0.464168,0.460702,0.460318,0.479685,0.470067,0.526315,0.481571,0.464438,0.463539,0.470842,0.466737,0.498415,0.477118,0.535394,0.487293,0.464930,0.463839,0.476089,0.471699,0.508650,0.477738,0.532346,0.488862,0.467920,0.465773,0.474714,0.472089,0.505791,0.475789,0.528039,0.480548,0.471154,0.470324,0.484680,0.480759,0.505992,0.477652,0.517326,0.482729,0.475279,0.475317,0.478783,0.476942,0.504548,0.482142
1400,0.462830,0.467625,0.450091,0.451674,0.447874,0.447019,0.473430,0.459057,0.537146,0.475365,0.453868,0.451830,0.462252,0.455421,0.500694,0.469569,0.549476,0.483141,0.453383,0.451011,0.466545,0.459964,0.515631,0.470965,0.546425,0.483006,0.457242,0.453774,0.463938,0.460163,0.512757,0.469144,0.542082,0.475613,0.459602,0.458118,0.476502,0.471274,0.509608,0.469630,0.525609,0.476160,0.465656,0.465482,0.470434,0.467950,0.507168,0.474858
1600,0.450876,0.456052,0.435909,0.437864,0.434328,0.432246,0.468167,0.446726,0.550071,0.469436,0.443991,0.439516,0.457195,0.444110,0.505328,0.462273,0.567430,0.478556,0.443063,0.437491,0.459274,0.447963,0.525478,0.464722,0.564183,0.476697,0.446630,0.441045,0.451809,0.446558,0.521865,0.462765,0.559001,0.470642,0.446210,0.443675,0.466206,0.459334,0.514644,0.460899,0.537006,0.469916,0.455112,0.454021,0.460379,0.457191,0.509743,0.465805
1800,0.438746,0.443924,0.420860,0.422879,0.424911,0.417738,0.463082,0.432667,0.564454,0.462748,0.435205,0.426275,0.457708,0.433725,0.511206,0.453590,0.588130,0.473833,0.434817,0.422776,0.456008,0.435412,0.538054,0.458246,0.584772,0.469544,0.436576,0.427507,0.439029,0.431513,0.534269,0.456306,0.578970,0.466144,0.432724,0.428467,0.455407,0.446021,0.521344,0.451337,0.548293,0.461953,0.443795,0.441324,0.448635,0.444456,0.514234,0.455879
